family,topology_type,J_star,B,C_total,C_min_path,budget_ratio_total,budget_ratio_path,alpha,n_nodes,n_edges,density,n_repairable,shortest_path_length,H
er,er_n8_p0.37,0.3289807067616298,14.16,32.760000000000005,7.83,0.4322344322344322,1.8084291187739463,0.4322273150193504,8,19,0.3392857142857143,6,3.0,25.0
er,er_n9_p0.28,0.00956570913551438,21.85,48.91,6.64,0.4467389081987324,3.29066265060241,0.44666467002490634,9,19,0.2638888888888889,7,2.0,25.0
er,er_n6_p0.28,0.12403980207067347,5.94,13.89,6.9,0.42764578833693306,0.8608695652173913,0.4277989181845909,4,4,0.3333333333333333,2,2.0,25.0
er,er_n4_p0.4,0.15492465951483192,5.2,12.45,4.63,0.4176706827309237,1.1231101511879051,0.4176425864116631,4,7,0.5833333333333334,2,2.0,25.0
er,er_n4_p0.37,0.2293578911847652,2.94,6.69,6.69,0.43946188340807174,0.43946188340807174,0.4398864978247736,3,3,0.5,1,2.0,25.0
er,er_n7_p0.36,0.10840537591881856,19.49,37.209999999999994,9.86,0.5237839290513303,1.9766734279918863,0.5237564134999674,7,15,0.35714285714285715,5,2.0,25.0
er,er_n9_p0.34,0.03345042692684521,7.53,30.840000000000003,2.33,0.2441634241245136,3.2317596566523603,0.24420300107865972,9,25,0.3472222222222222,7,2.0,25.0
er,er_n6_p0.28,0.2200367300100596,2.9,7.4,3.81,0.3918918918918919,0.7611548556430446,0.3919080203052444,4,5,0.4166666666666667,2,2.0,25.0
er,er_n6_p0.31,0.37551652421195764,2.84,12.81,8.16,0.22170179547228724,0.3480392156862745,0.2213257053383698,4,5,0.4166666666666667,2,2.0,25.0
er,er_n7_p0.31,0.0219695439904357,6.51,22.15,3.18,0.29390519187358916,2.0471698113207544,0.29381228710633506,6,11,0.36666666666666664,4,2.0,25.0
er,er_n6_p0.32,0.531971229256198,2.68,11.07,11.07,0.24209575429087626,0.24209575429087626,0.2422409812189869,4,6,0.5,2,3.0,25.0
er,er_n6_p0.32,0.16367102638043093,5.22,15.24,5.34,0.3425196850393701,0.9775280898876404,0.34272021166745215,6,12,0.4,4,2.0,25.0
er,er_n7_p0.27,0.027883221877002318,7.03,12.24,2.81,0.5743464052287581,2.501779359430605,0.5743174928581866,6,11,0.36666666666666664,4,2.0,25.0
er,er_n7_p0.39,0.008405728184728005,15.17,36.68,4.84,0.41357688113413305,3.134297520661157,0.41348557846206774,7,24,0.5714285714285714,5,2.0,25.0
er,er_n5_p0.38,0.37664804504106764,1.26,7.46,4.8,0.16890080428954424,0.2625,0.1694177590370693,4,4,0.3333333333333333,2,2.0,25.0
er,er_n9_p0.34,0.013260804432279982,11.47,34.290000000000006,3.3,0.33449985418489353,3.475757575757576,0.33458232912215696,9,26,0.3611111111111111,7,2.0,25.0
er,er_n10_p0.36,0.012439823323406601,24.8,45.959999999999994,6.12,0.5395996518711924,4.052287581699346,0.5395877774309756,10,30,0.3333333333333333,8,2.0,25.0
er,er_n10_p0.34,0.1599678012846949,15.6,36.77,9.72,0.42425890671743266,1.604938271604938,0.4242744051094828,8,21,0.375,6,2.0,25.0
er,er_n7_p0.32,0.34830606833943234,0.65,2.02,2.02,0.3217821782178218,0.3217821782178218,0.3239251154174907,3,3,0.5,1,2.0,25.0
er,er_n8_p0.33,0.28690183463167634,12.2,29.080000000000002,5.04,0.4195323246217331,2.4206349206349205,0.41952204679182514,8,16,0.2857142857142857,6,3.0,25.0
er,er_n10_p0.27,0.04493398855926164,19.99,42.4,5.98,0.4714622641509434,3.3428093645484944,0.47147053777135417,9,22,0.3055555555555556,7,2.0,25.0
er,er_n10_p0.39,0.1937987790736011,9.96,41.75,4.26,0.23856287425149703,2.338028169014085,0.23860694812598068,10,37,0.4111111111111111,8,3.0,25.0
er,er_n8_p0.33,0.18704665301488613,6.05,23.710000000000004,3.31,0.2551665963728384,1.8277945619335347,0.2549918376267223,7,11,0.2619047619047619,5,2.0,25.0
er,er_n10_p0.3,0.15347313990232683,13.41,45.78,1.89,0.2929226736566186,7.095238095238096,0.2928276164046876,10,35,0.3888888888888889,8,2.0,25.0
