instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
0,sp_sp2,sp,4.24,9,4,4,0.5185199582842271,0.0,0.0,0.0,True
1,sp_sp2,sp,17.24,12,4,4,0.597323013595294,0.0,0.0,0.0,True
2,sp_sp3,sp,5.53,5,5,6,0.40622220189549896,0.0,0.0,0.0,True
3,mesh_3x2,mesh,5.89,13,6,14,0.8872109520769609,-0.632455532033676,0.1315750427942147,0.08698740498868204,True
4,mesh_2x3,mesh,5.36,15,6,14,0.7445676602350763,0.10540925533894598,0.17960789433254323,0.1689454367172924,True
5,sp_sp7,sp,10.25,8,9,10,0.33418103294506435,0.4546206046583175,0.16603954343381042,0.12243303620791039,True
6,er_n4_p0.35,er,8.79,7,3,2,0.45476296217194023,0.0,0.0,0.0,False
7,er_n9_p0.43,er,15.77,9,9,25,0.5590248449535965,0.48650622985560193,0.125498701160369,0.13037143671105955,True
8,sp_sp2,sp,8.11,5,4,3,0.5687484766841255,0.0,0.0,0.0,True
9,mesh_2x2,mesh,1.77,12,4,8,0.5162223989409147,0.0,0.0,0.0,True
10,sp_sp3,sp,23.88,5,5,4,0.5697096269358415,0.0,0.0,0.0,True
11,mesh_2x4,mesh,8.24,13,8,20,0.8616557061443404,0.24688535993934707,0.22271959094464008,0.11436536398710294,True
12,er_n9_p0.45,er,9.14,7,9,30,0.5179705897209679,0.0,0.029917726252785538,0.0,True
13,sp_sp4,sp,4.16,12,6,8,0.5117853205065312,0.0,0.0,0.0,True
14,mesh_2x4,mesh,3.45,10,8,20,0.9361643214511066,-0.5246313898711126,0.250765826427328,0.19269702035912864,True
15,sp_sp5,sp,7.46,12,7,8,0.5535844330491801,0.0,0.0,0.0,True
16,er_n4_p0.44,er,4.76,7,3,3,0.47523619998148003,0.0,0.0,0.0,False
17,sp_sp5,sp,0.87,11,7,9,0.3032313036382436,-0.09999999999999999,0.09352287989645604,0.37994896683239315,True
18,sp_sp6,sp,10.2,10,8,10,0.35845206298962484,0.5217939320872036,0.1727345361315696,0.13716982442323536,True
19,sp_sp9,sp,7.19,7,11,17,0.416182771684953,0.0,0.0,0.0,True
20,er_n5_p0.4,er,9.73,11,4,6,0.4569966606399944,0.0,0.0,0.0,True
21,mesh_2x2,mesh,2.27,12,4,8,0.422031524790322,0.0,0.0,0.0,True
22,mesh_2x3,mesh,14.52,15,6,14,0.774387478120513,0.7378647873726218,0.21058142844583017,0.04261875117883595,True
23,er_n10_p0.33,er,11.59,10,10,31,0.15359763968532025,0.3333333333333334,0.16799496802211691,0.08376762039944119,True
24,er_n5_p0.42,er,3.97,12,5,8,0.5478212126187834,0.0,0.0,0.0,True
25,er_n8_p0.33,er,1.36,8,7,18,0.4007297654665728,0.0,0.0,0.0,True
26,er_n8_p0.35,er,18.27,11,8,26,0.14737240655453832,0.4285714285714286,0.22905170432107225,0.1048778692606793,True
27,sp_sp7,sp,16.28,6,9,11,0.4307135487782068,0.8829187134416479,0.19710423232285934,0.10204649441377231,True
28,mesh_3x2,mesh,6.05,12,6,14,0.8326539699536444,0.632455532033676,0.2173981806508438,0.09074184871229239,True
29,sp_sp6,sp,10.08,11,8,9,0.5914695132909242,-0.08827348295047495,0.10202636580341029,0.08798694890524349,True
30,sp_sp7,sp,14.62,7,9,9,0.6318965196103872,0.4183300132670378,0.1464327620957879,0.04127145949341206,True
31,sp_sp8,sp,6.19,7,10,13,0.3281879532474658,0.10146925788636822,0.1103641590235553,0.16730651526838056,True
32,mesh_2x5,mesh,10.01,10,10,26,0.8710515621379438,0.8713132312710234,0.22562228837187237,0.09841190445758655,True
33,sp_sp6,sp,6.45,5,8,11,0.5728251925660962,0.0,0.0,0.0,True
34,sp_sp7,sp,4.29,6,9,11,0.3262838990323364,0.5371291452680612,0.22681208875788425,0.1364334303457357,True
35,er_n7_p0.44,er,16.1,6,6,12,0.35065510261999544,-0.39999999999999997,0.13064545339229697,0.2500184634053812,True
36,sp_sp2,sp,9.17,10,4,4,0.5749629271456235,0.0,0.0,0.0,True
37,mesh_2x3,mesh,7.98,13,6,14,0.8175245376538521,0.21081851067789195,0.2278098677753296,0.1503004986088183,True
38,sp_sp7,sp,9.34,6,9,11,0.4863498361484329,0.0,0.0,0.0,True
39,mesh_2x4,mesh,7.11,15,8,20,0.8808206416868727,0.6172133998483678,0.21453394886999652,0.11577371999496397,True
40,mesh_3x3,mesh,21.05,12,9,24,0.6930727811992385,0.5052248022814559,0.11762460101721701,0.039681942329679754,True
41,sp_sp2,sp,13.28,5,4,3,0.46163171606700215,0.0,0.0,0.0,True
42,er_n4_p0.34,er,3.25,6,4,7,0.4054121724884846,0.0,0.0,0.0,True
43,mesh_2x5,mesh,16.1,13,10,26,0.9564685067510146,0.51234753829798,0.17132862171020938,0.06286376098315934,True
44,mesh_2x5,mesh,23.68,15,10,26,0.9778475868717444,0.6831300510639733,0.18047993986512526,0.06742091070526735,True
45,mesh_2x4,mesh,12.33,10,8,20,0.8367501524302863,0.8332380897952965,0.23480165597869487,0.0817359454687754,True
46,er_n7_p0.42,er,5.99,10,7,18,0.26433361721340953,0.6,0.21818157865874732,0.20654589957652744,True
47,sp_sp3,sp,4.58,8,5,6,0.4686560135515774,0.0,0.0,0.0,True
48,er_n4_p0.39,er,10.29,6,4,6,0.42837625376040284,0.0,0.0,0.0,True
49,sp_sp5,sp,6.95,6,7,9,0.4321307479589998,0.0,0.026666666666642094,0.0,True
50,er_n10_p0.32,er,11.45,9,9,28,0.46428378257159497,0.0,0.0,0.0,True
51,mesh_2x2,mesh,2.37,15,4,8,0.574377983850667,0.0,0.0,0.0,True
52,mesh_2x4,mesh,9.69,14,8,20,0.9026288903210543,0.15430334996209194,0.17168050416627725,0.08419514291915366,True
53,mesh_2x4,mesh,7.56,10,8,20,0.887138911092795,0.27774602993176545,0.18738350306842963,0.11211467001526526,True
54,er_n4_p0.37,er,3.82,8,4,6,0.4546970173535998,0.0,0.0,0.0,True
55,sp_sp2,sp,2.67,6,4,4,0.41315073579423406,0.0,0.0,0.0,True
56,er_n5_p0.4,er,9.01,9,3,3,0.43246803088154967,0.0,0.0,0.0,False
57,mesh_2x5,mesh,11.45,12,10,26,0.9678290436592487,0.51234753829798,0.20093030872132359,0.09989256801264451,True
58,mesh_2x5,mesh,12.66,13,10,26,0.9850293921337953,0.36596252735569995,0.13630491879495257,0.09113725834989533,True
59,er_n10_p0.41,er,16.0,7,10,37,0.47069911764643607,-0.023809523809523815,0.05690254416996246,0.10398632904290045,True
60,sp_sp6,sp,11.46,8,8,9,0.4825508272559821,-0.15430334996209194,0.1859869334790382,0.1724913807917965,True
61,sp_sp5,sp,3.8,9,7,8,0.39619641927970395,-0.9486832980505138,0.1798613887539351,0.19166658611178355,True
62,sp_sp5,sp,13.04,5,7,9,0.5055081666228548,0.0,0.0,0.0,True
63,er_n5_p0.44,er,5.84,9,4,8,0.4324680308815497,0.0,0.0,0.0,True
64,er_n6_p0.4,er,12.39,5,6,16,0.34134316131723813,-0.7745966692414834,0.08459198145639268,0.14178715192063363,True
65,sp_sp8,sp,2.92,6,10,16,0.43957810909639056,0.0,0.0,0.0,True
66,er_n6_p0.31,er,3.9,10,5,10,0.5263257652192854,0.0,0.0,0.0,True
67,mesh_3x4,mesh,26.09,12,12,34,0.8915633925014576,0.15952121097636068,0.08157972934511544,0.047714296138625496,True
68,er_n7_p0.43,er,1.03,9,5,12,0.49939073833332637,0.0,0.0,0.0,True
69,mesh_2x4,mesh,16.53,12,8,20,0.7831674485828571,-0.49377071987869414,0.14215901717802926,0.05383145654787135,True
70,sp_sp6,sp,1.22,5,8,10,0.4029197751279679,0.0,0.0,0.0,True
71,er_n8_p0.36,er,8.98,11,7,15,0.47052608276948454,-0.026315789473684213,0.2044928290144675,0.15111146630609662,True
72,sp_sp4,sp,9.11,11,6,6,0.49959514465691074,0.0,0.0,0.0,True
73,er_n6_p0.39,er,10.66,9,5,8,0.21960290815114852,0.5,0.19657993627529488,0.0797057439210838,True
74,sp_sp6,sp,5.23,12,8,10,0.40939647989462147,0.6473388749701496,0.2222783081717964,0.1774989913108858,True
75,mesh_2x4,mesh,9.68,15,8,20,0.9770826978084736,-0.6172133998483678,0.14922180362567738,0.0892713262997466,True
76,er_n7_p0.33,er,10.23,11,7,21,0.24166268468177934,0.5642880936468347,0.17606749907604513,0.17421103866724263,True
77,er_n8_p0.34,er,15.16,10,8,18,0.4783793548024584,-0.27941176470588236,0.09811935561075956,0.1048555727382688,True
78,er_n10_p0.3,er,4.38,10,10,30,0.34660708528657613,0.7336905724301903,0.2447352504036392,0.1566926942165224,True
79,er_n6_p0.39,er,10.88,10,6,10,0.5703101313743656,0.0,0.0,0.0,True
80,sp_sp3,sp,6.88,8,5,5,0.4258132717809163,0.0,0.22222222222201227,0.0,True
81,er_n8_p0.45,er,17.13,5,6,11,0.4556550936811019,0.0,0.0,0.0,True
82,mesh_3x3,mesh,6.86,15,9,24,0.8983755634249371,0.5800729211379677,0.0994936336948284,0.0829815647375687,True
83,sp_sp4,sp,5.73,11,6,7,0.5955582953773337,0.0,0.0,0.0,True
84,er_n6_p0.36,er,8.5,10,5,11,0.5364358236966607,0.0,0.0,0.0,True
85,mesh_3x2,mesh,7.53,12,6,14,0.7631984120841406,0.316227766016838,0.20455908689609034,0.16315519737046189,True
86,sp_sp3,sp,1.77,7,5,6,0.4463840681074579,0.0,0.0,0.0,True
87,mesh_2x4,mesh,23.68,12,8,20,0.7503334030623713,0.12344267996967354,0.16011611262853218,0.04879385697110893,True
88,er_n5_p0.31,er,4.93,12,4,6,0.4992004481373687,0.0,0.0,0.0,True
89,sp_sp3,sp,1.64,12,5,5,0.575970402372326,0.0,0.0,0.0,True
90,er_n8_p0.35,er,6.31,9,8,24,0.6342517052869293,0.02898855178262242,0.18251606953608568,0.18267855455691517,True
91,mesh_3x2,mesh,3.79,15,6,14,0.8432672969267622,0.21081851067789195,0.21377541607216224,0.09928969167906113,True
92,er_n10_p0.43,er,7.1,6,10,42,0.40350667137239316,0.29277002188455997,0.17902605975757088,0.18097090979374408,True
93,sp_sp2,sp,5.97,12,4,4,0.15480174533271662,0.0,0.0,0.0,True
94,er_n6_p0.42,er,9.2,6,6,10,0.5537804835018187,0.0,0.0,0.0,True
95,mesh_2x4,mesh,11.25,15,8,20,0.8738306380599162,0.9258200997725515,0.26418812576816886,0.10912121914008276,True
96,mesh_2x5,mesh,9.32,14,10,26,0.9840588231599899,0.36596252735569995,0.1906842927401937,0.08961144222228545,True
97,mesh_2x3,mesh,11.73,15,6,14,0.6318325633091274,0.10540925533894598,0.18512348161546432,0.1026853021137608,True
98,er_n10_p0.32,er,2.06,6,9,22,0.49602929681979074,0.0,0.051851851851727304,0.0,True
99,er_n6_p0.42,er,9.3,8,3,3,0.4158923596952406,0.0,0.0,0.0,False
100,sp_sp8,sp,17.95,7,10,13,0.5374077184135178,0.012048192771084336,0.13450130435118654,0.13816428751773005,True
101,er_n7_p0.34,er,22.07,5,7,18,0.4977518799978728,0.0,0.0,0.0,True
102,mesh_2x2,mesh,6.01,11,4,8,0.3101371752054379,0.0,0.0,0.0,True
103,sp_sp5,sp,12.56,8,7,9,0.27209471299281573,0.35909242322980395,0.137426637602577,0.1166508692654548,True
104,mesh_3x4,mesh,7.91,10,12,34,0.9016933143264403,0.23928181646454103,0.08282184731245895,0.07669232165728262,True
105,mesh_2x5,mesh,10.35,11,10,26,0.9660775965073699,0.8783100656536799,0.20785801110922275,0.09252194198391718,True
106,er_n10_p0.33,er,19.4,8,10,31,0.5538271022262902,0.38095238095238104,0.1833924683529905,0.1351179920720931,True
107,er_n7_p0.36,er,11.5,5,7,19,0.37690726229320304,0.2894736842105264,0.14412977552894632,0.17795014798030642,True
108,sp_sp5,sp,6.26,9,7,10,0.4214956740894901,0.0,0.0,0.0,True
109,mesh_3x2,mesh,3.96,15,6,14,0.9142506726396449,0.632455532033676,0.23569756832758762,0.14663575500506779,True
110,er_n7_p0.39,er,4.06,8,7,16,0.4823013391537524,0.0,0.10821256038627158,0.0,True
111,mesh_3x3,mesh,9.28,11,9,24,0.8426377403749633,0.6923450994227358,0.15493830114213958,0.10137268792033523,True
112,er_n8_p0.37,er,17.08,9,8,24,0.42824561842617137,-0.14285714285714288,0.16674976327923588,0.1659531365584939,True
113,er_n8_p0.38,er,6.65,6,7,17,0.448290893236596,0.3,0.12687804339496464,0.2625470474523789,True
114,mesh_3x3,mesh,12.26,11,9,24,0.8639766835813156,0.5800729211379677,0.11626440807696085,0.11146959230967171,True
115,er_n4_p0.39,er,2.49,10,4,4,0.5886505313400235,0.0,0.0,0.0,True
116,sp_sp6,sp,9.48,8,8,9,0.6275397594148276,-0.6982532518267538,0.12090083131225891,0.1049174259686954,True
117,er_n7_p0.42,er,4.77,7,7,20,0.48323898064268994,0.0,0.0,0.0,True
118,mesh_3x3,mesh,6.18,12,9,24,0.9220565938716377,0.4490887131390719,0.17917047649359522,0.1203137775809683,True
119,er_n9_p0.33,er,9.16,12,8,23,0.1379287541681724,-0.4852941176470589,0.125986871311031,0.15888213998777956,True
120,sp_sp6,sp,8.28,5,8,9,0.4058110837435643,0.02898855178262242,0.14396659064213566,0.21251120742918958,True
121,mesh_3x2,mesh,9.06,11,6,14,0.6861123734857305,0.632455532033676,0.22253012293658644,0.08246534019151582,True
122,mesh_3x2,mesh,7.67,10,6,14,0.6889773782079908,-0.9486832980505139,0.13864761919750065,0.05982192124629543,True
123,mesh_2x4,mesh,15.75,13,8,20,0.8015996615993024,0.401188709901439,0.18144482007040233,0.08382528907059959,True
124,er_n8_p0.44,er,12.54,9,8,20,0.4417951568925014,0.11764705882352942,0.08336603697614257,0.17071855586671442,True
125,sp_sp4,sp,3.17,11,6,7,0.5111951574618399,0.0,0.0,0.0,True
126,er_n6_p0.31,er,12.05,12,3,3,0.49279713025509875,0.0,0.0,0.0,False
127,sp_sp5,sp,1.31,12,7,9,0.3258364711086049,-0.49999999999999994,0.11807986058615118,0.3503468275698439,True
128,mesh_2x5,mesh,25.58,11,10,26,0.9521438559053994,0.21957751641341997,0.12399475517039409,0.05151583286950296,True
129,mesh_3x2,mesh,9.39,13,6,14,0.8155328056519131,-0.10540925533894598,0.2071613700100121,0.08665086487480735,True
130,sp_sp4,sp,17.37,12,6,7,0.34633397675449,0.0,0.0,0.0,True
131,mesh_4x3,mesh,15.47,11,12,34,0.7548102250262353,0.5809303433251298,0.14061643947812938,0.06530988566951111,True
132,sp_sp5,sp,9.98,6,7,9,0.41233276210567216,0.4596273598704939,0.19160719560427275,0.24575642475132234,True
133,mesh_2x3,mesh,9.89,13,6,14,0.7673073828715928,0.21081851067789195,0.22037524751108162,0.10795415924363007,True
134,er_n10_p0.42,er,10.61,5,10,34,0.3827442919846965,0.7065994945288229,0.1065716119489253,0.21920411001393758,True
135,mesh_2x5,mesh,20.14,10,10,26,0.8593793341520715,-0.0736321040510724,0.11553541682613766,0.05400621230754199,True
136,sp_sp2,sp,6.48,11,4,4,0.49370179275079457,0.0,0.0,0.0,True
137,er_n4_p0.33,er,6.2,9,3,4,0.46942936332924334,0.0,0.0,0.0,False
138,mesh_2x2,mesh,2.47,11,4,8,0.5483173032757397,0.0,0.0,0.0,True
139,er_n8_p0.35,er,9.73,6,6,10,0.4469439009315628,0.0,0.0,0.0,True
140,mesh_3x3,mesh,6.94,11,9,24,0.8255570592482948,0.7363735392481271,0.12672639679724984,0.14534199636964393,True
141,sp_sp6,sp,13.87,6,8,9,0.499118892041616,-0.3142857142857143,0.09663551398623255,0.11939920380524106,True
142,mesh_2x5,mesh,15.93,13,10,26,0.9670710704793716,0.07319250547113999,0.10979821708516795,0.04658382589149291,True
143,mesh_3x4,mesh,9.35,14,12,34,0.9639387078259937,-0.3374487155269168,0.08231129405824714,0.06297086778561133,True
144,mesh_3x2,mesh,6.76,14,6,14,0.7030913703290268,0.632455532033676,0.23368789399482803,0.1141578213727015,True
145,er_n7_p0.43,er,13.83,7,7,15,0.2142131678464611,0.39999999999999997,0.1592082425039618,0.11934768931635316,True
146,sp_sp2,sp,13.42,5,4,3,0.5344971880260125,0.0,0.0,0.0,True
147,er_n8_p0.42,er,10.66,12,8,21,0.1279999524414211,-0.2571428571428572,0.16995380612208336,0.23632829712050468,True
148,er_n7_p0.31,er,10.48,10,5,8,0.5931241086419169,0.0,0.0,0.0,True
149,er_n9_p0.38,er,10.25,7,8,24,0.41618277168495293,0.0,0.0,0.0,True
150,mesh_2x3,mesh,5.4,11,6,14,0.8568641696851587,0.7378647873726218,0.2563103323575974,0.12631312657484253,True
151,er_n7_p0.38,er,9.03,9,6,14,0.5720701998702115,0.0,0.0,0.0,True
152,er_n5_p0.35,er,3.99,6,5,8,0.40541217248848443,0.0,0.0,0.0,True
153,er_n6_p0.38,er,4.95,10,5,8,0.5314053332254514,0.0,0.0,0.0,True
154,er_n6_p0.43,er,1.78,9,6,14,0.45385935631504987,0.0,0.0,0.0,True
155,er_n11_p0.41,er,11.45,8,11,47,0.4369322884394953,-0.16666666666666669,0.08413888573046252,0.1317538978126182,True
156,sp_sp6,sp,3.4,8,8,10,0.52141541438311,0.0,0.0,0.0,True
157,mesh_2x4,mesh,13.98,11,8,20,0.8237498466864515,0.6789347398332045,0.20856545001275686,0.05624354094057885,True
158,sp_sp6,sp,10.84,5,8,12,0.443974191832701,0.0,0.02398989898988597,2.7755575615628914e-17,True
159,sp_sp5,sp,1.61,12,7,8,0.34246769247427566,-0.13157894736842107,0.1073667860468036,0.281404823985007,True
160,er_n4_p0.36,er,14.25,9,3,2,0.5804607121333462,0.0,0.0,0.0,False
161,sp_sp8,sp,3.81,9,10,12,0.46428378257159464,0.0,0.0,0.0,True
162,er_n8_p0.34,er,9.12,12,8,23,0.5704725257246108,0.0,0.0,0.0,True
163,sp_sp7,sp,7.31,8,9,11,0.4158923596952406,0.0,0.08058608058601169,2.7755575615628914e-17,True
164,mesh_2x4,mesh,15.27,10,8,20,0.7995831864344174,-0.09258200997725516,0.16860686393853683,0.08662460048219868,True
165,sp_sp5,sp,8.18,7,7,8,0.28440748302929,0.46169025843831935,0.19242616255453102,0.1604156461076167,True
166,mesh_3x2,mesh,1.66,11,6,14,0.9083307637118649,0.21081851067789195,0.24005377316793394,0.1601360664670602,True
167,er_n8_p0.4,er,6.93,6,8,25,0.43734400390872796,-0.030358837035945815,0.2091676148233723,0.23763219457788554,True
168,sp_sp3,sp,1.95,9,5,5,0.40468346037587694,0.0,0.0,0.0,True
169,er_n4_p0.44,er,6.98,8,4,5,0.4355864286340052,0.0,0.0,0.0,True
170,sp_sp9,sp,9.39,8,11,17,0.5460316438650605,0.0,0.0,0.0,True
171,sp_sp2,sp,11.42,10,4,4,0.4613848859051006,0.0,0.0,0.0,True
172,sp_sp4,sp,11.15,8,6,8,0.5043629204163769,0.0,0.0,0.0,True
173,mesh_3x4,mesh,12.04,15,12,34,0.9641541824282098,0.8405540732215928,0.17675989771125555,0.07886490557694224,True
174,mesh_3x3,mesh,7.22,10,9,24,0.8710917196277603,0.18712029714127995,0.17138260374527295,0.16630766522557974,True
175,mesh_2x4,mesh,17.12,11,8,20,0.7857974406264037,0.49377071987869414,0.1601295069389165,0.04655947402886493,True
176,er_n8_p0.35,er,12.38,9,8,23,0.15656086876878592,0.6667366910003157,0.23576937538476642,0.13841838548297838,True
177,sp_sp4,sp,19.63,12,6,8,0.39214433088382816,-0.4472135954999579,0.21668117860254074,0.017451740771722703,True
178,mesh_3x3,mesh,6.03,13,9,24,0.9504804117062391,0.43037668342494384,0.17094054652002985,0.1502167436928094,True
179,mesh_3x3,mesh,9.88,15,9,24,0.9140823000078294,0.43037668342494384,0.12264163973238003,0.08479912942363785,True
180,mesh_2x2,mesh,3.27,15,4,8,0.7061606617738709,0.0,0.0,0.0,True
