instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
0,sp_sp6,sp,14.62,12,8,9,0.9995026541034719,0.7717436331412897,0.2507374631267207,0.23571610419710617,True
1,er_n9_p0.3,er,1.14,13,9,23,0.6882923686229977,0.3214285714285715,0.03890794639727125,0.22106442655753844,True
2,er_n4_p0.38,er,11.8,6,4,6,0.46855899999999995,0.0,0.0,0.0,True
3,mesh_3x2,mesh,13.61,25,6,14,0.2543136856832886,0.5443310539518174,0.1894218942188558,0.18237473091478074,True
4,er_n7_p0.43,er,13.99,20,7,13,0.049504716863738064,0.3354101966249684,0.1386499215070324,0.10620959873678387,True
5,er_n5_p0.36,er,13.42,15,4,6,0.9999984382889129,0.0,0.0,0.0,True
6,mesh_3x2,mesh,17.63,24,6,14,0.747688792575738,0.0,0.0,0.0,True
7,sp_sp4,sp,7.03,11,6,8,0.0,0.2721655269759087,0.19999999999978724,0.43301270189175856,True
8,sp_sp7,sp,9.82,8,9,12,0.824622143114201,0.8233293074216317,0.22199299742449682,0.14575128195171136,True
9,mesh_2x4,mesh,12.9,22,8,20,0.7209717103069438,0.38333333333333347,0.2309470096189584,0.17204256574368332,True
10,sp_sp8,sp,22.83,20,10,12,0.9999980380803661,0.04819626927118799,0.07004816988474923,0.12524672497396777,True
11,mesh_3x3,mesh,7.92,17,9,24,0.2720008033501787,0.35856858280031817,0.18368302552772364,0.2162414533022232,True
12,er_n11_p0.39,er,9.12,5,11,42,0.352271256794889,0.5666666666666667,0.15974358407816358,0.09236370608017173,True
13,mesh_3x2,mesh,15.04,18,6,14,0.07571840602989821,0.3333333333333333,0.15528089887635735,0.10489611070554698,True
14,mesh_3x3,mesh,12.6,18,9,24,0.9140269743689979,0.29880715233359845,0.1457295715171656,0.11204327939771375,True
15,sp_sp9,sp,45.05,19,11,12,0.9999999513937365,0.5500190982169267,0.08033992285437769,0.03757901676507923,True
16,er_n6_p0.4,er,13.58,19,6,13,0.979961569949192,0.0,0.0,0.0,True
17,sp_sp9,sp,10.44,10,11,14,0.9989512916353384,0.017099639201419235,0.12858827466056422,0.12613467851643342,True
18,er_n9_p0.37,er,7.72,6,7,16,0.08825797688773987,0.19999999999999998,0.26144756522573537,0.24494898124054895,True
19,mesh_2x4,mesh,7.92,25,8,20,0.999448803436332,0.5246313898711126,0.3311936439145062,0.3639822168449868,True
20,er_n5_p0.43,er,10.06,19,5,10,0.22012338009910726,-0.5,0.1582491582490628,0.23825114781066353,True
21,sp_sp5,sp,9.54,12,7,9,0.9900513227265622,0.9473684210526317,0.3333333333329171,0.39999999999940544,True
22,sp_sp6,sp,3.56,19,8,9,0.0,0.6761234037828132,0.3060215892831318,0.31038497500348666,True
23,sp_sp7,sp,0.64,19,9,12,0.0,0.6123724356957946,0.33333333332815623,0.3499271061064478,True
24,er_n7_p0.36,er,30.18,11,6,16,0.7945544152711099,0.0,0.0,0.0,True
25,mesh_3x4,mesh,20.48,17,12,34,0.8312663611783446,0.5015501596686753,0.07147399064838046,0.04994035942286484,True
26,er_n4_p0.37,er,8.68,17,3,3,0.9971779456035958,0.0,0.0,0.0,False
27,sp_sp5,sp,3.88,5,7,10,0.0,0.7071067811865475,0.33333333333279297,0.3999999999993516,True
28,mesh_3x4,mesh,5.48,25,12,34,0.0,-0.4699382512334943,0.032941943900813876,0.299999999999689,True
29,mesh_3x3,mesh,54.17,16,9,24,0.8468717526674374,0.0,0.0,0.0,True
30,er_n7_p0.31,er,1.39,15,7,19,0.4493814796540894,-0.20519567041703085,0.11249999999935051,0.39999999999693847,True
31,sp_sp2,sp,10.56,7,4,3,0.9848992248597591,0.0,0.0,0.0,True
32,sp_sp6,sp,8.32,7,8,9,0.55768665104471,0.298540717013266,0.2919477693143261,0.20917966333980403,True
33,mesh_2x4,mesh,16.46,15,8,20,0.9641889550116606,-0.18516401995451032,0.14892354532708826,0.044117722293712004,True
34,sp_sp3,sp,12.08,12,5,5,0.849514571837716,0.0,0.22222222222211974,0.18062236375563834,True
35,er_n4_p0.37,er,12.51,5,4,6,0.42893230377577596,0.0,0.0,0.0,True
36,mesh_2x4,mesh,7.88,25,8,20,0.40196094316956976,0.8280786712108252,0.33333333333300275,0.23585373383747124,True
37,mesh_2x4,mesh,5.69,19,8,20,0.0,0.12247448713915891,0.18783547053455033,0.23653407284068656,True
38,sp_sp7,sp,27.02,17,9,11,0.999997675588999,0.08040302522073696,0.06661868202173787,0.10231736873772496,True
39,mesh_3x2,mesh,12.3,23,6,14,0.9648975726872273,0.7378647873726218,0.2130492326055343,0.045936888427386295,True
40,mesh_2x5,mesh,13.39,17,10,26,0.13331213641971104,-0.2716256390786372,0.18300277182413205,0.15588809391321815,True
41,sp_sp9,sp,10.04,8,11,16,0.5226996202229739,0.42678197846541877,0.1384680912758068,0.1287742348213953,True
42,mesh_3x4,mesh,10.58,24,12,34,0.5747841839359329,-0.17029904308082452,0.14798881734003247,0.15225821318655444,True
43,mesh_2x4,mesh,7.5,20,8,20,0.0,0.12247448713915891,0.1602866007454172,0.24834566094360574,True
44,er_n11_p0.35,er,8.94,9,11,35,0.07147717375469045,0.3765723339400754,0.21392991593994617,0.13287721396760757,True
