Train/val dataset: 3000 graphes
Benchmark fixe: 900 graphes
Epoch 1/120, Train Loss: 0.0160, Val Loss: 0.0059, Benchmark Loss: 0.0494
Epoch 2/120, Train Loss: 0.0018, Val Loss: 0.0105, Benchmark Loss: 0.0294
Epoch 3/120, Train Loss: 0.0014, Val Loss: 0.0006, Benchmark Loss: 0.0293
Epoch 4/120, Train Loss: 0.0016, Val Loss: 0.0032, Benchmark Loss: 0.0439
Epoch 5/120, Train Loss: 0.0016, Val Loss: 0.0023, Benchmark Loss: 0.0380
Epoch 6/120, Train Loss: 0.0014, Val Loss: 0.0115, Benchmark Loss: 0.0322
Epoch 7/120, Train Loss: 0.0012, Val Loss: 0.0085, Benchmark Loss: 0.0373
Epoch 8/120, Train Loss: 0.0013, Val Loss: 0.0056, Benchmark Loss: 0.0346
Epoch 9/120, Train Loss: 0.0013, Val Loss: 0.0011, Benchmark Loss: 0.0283
Epoch 10/120, Train Loss: 0.0010, Val Loss: 0.0005, Benchmark Loss: 0.0307
Epoch 11/120, Train Loss: 0.0012, Val Loss: 0.0005, Benchmark Loss: 0.0300
Epoch 12/120, Train Loss: 0.0009, Val Loss: 0.0004, Benchmark Loss: 0.0244
Epoch 13/120, Train Loss: 0.0011, Val Loss: 0.0005, Benchmark Loss: 0.0231
Epoch 14/120, Train Loss: 0.0011, Val Loss: 0.0004, Benchmark Loss: 0.0321
Epoch 15/120, Train Loss: 0.0009, Val Loss: 0.0003, Benchmark Loss: 0.0244
Epoch 16/120, Train Loss: 0.0010, Val Loss: 0.0041, Benchmark Loss: 0.0254
Epoch 17/120, Train Loss: 0.0009, Val Loss: 0.0056, Benchmark Loss: 0.0302
Epoch 18/120, Train Loss: 0.0011, Val Loss: 0.0017, Benchmark Loss: 0.0281
Epoch 19/120, Train Loss: 0.0010, Val Loss: 0.0005, Benchmark Loss: 0.0239
Epoch 20/120, Train Loss: 0.0010, Val Loss: 0.0033, Benchmark Loss: 0.0219
Epoch 21/120, Train Loss: 0.0009, Val Loss: 0.0011, Benchmark Loss: 0.0260
Epoch 22/120, Train Loss: 0.0008, Val Loss: 0.0014, Benchmark Loss: 0.0284
Epoch 23/120, Train Loss: 0.0010, Val Loss: 0.0004, Benchmark Loss: 0.0325
Epoch 24/120, Train Loss: 0.0009, Val Loss: 0.0039, Benchmark Loss: 0.0353
Epoch 25/120, Train Loss: 0.0010, Val Loss: 0.0015, Benchmark Loss: 0.0291
Epoch 26/120, Train Loss: 0.0007, Val Loss: 0.0003, Benchmark Loss: 0.0279
Epoch 27/120, Train Loss: 0.0007, Val Loss: 0.0003, Benchmark Loss: 0.0270
Epoch 28/120, Train Loss: 0.0007, Val Loss: 0.0004, Benchmark Loss: 0.0271
Epoch 29/120, Train Loss: 0.0009, Val Loss: 0.0008, Benchmark Loss: 0.0304
Epoch 30/120, Train Loss: 0.0008, Val Loss: 0.0004, Benchmark Loss: 0.0302
Epoch 31/120, Train Loss: 0.0009, Val Loss: 0.0004, Benchmark Loss: 0.0299
Epoch 32/120, Train Loss: 0.0010, Val Loss: 0.0010, Benchmark Loss: 0.0312
Epoch 33/120, Train Loss: 0.0010, Val Loss: 0.0018, Benchmark Loss: 0.0333
Epoch 34/120, Train Loss: 0.0007, Val Loss: 0.0005, Benchmark Loss: 0.0325
Epoch 35/120, Train Loss: 0.0009, Val Loss: 0.0011, Benchmark Loss: 0.0317
Epoch 36/120, Train Loss: 0.0009, Val Loss: 0.0010, Benchmark Loss: 0.0279
Epoch 37/120, Train Loss: 0.0007, Val Loss: 0.0004, Benchmark Loss: 0.0325
Epoch 38/120, Train Loss: 0.0008, Val Loss: 0.0006, Benchmark Loss: 0.0313
Epoch 39/120, Train Loss: 0.0007, Val Loss: 0.0008, Benchmark Loss: 0.0332
Epoch 40/120, Train Loss: 0.0007, Val Loss: 0.0043, Benchmark Loss: 0.0373
Epoch 41/120, Train Loss: 0.0009, Val Loss: 0.0024, Benchmark Loss: 0.0296
Epoch 42/120, Train Loss: 0.0009, Val Loss: 0.0004, Benchmark Loss: 0.0300
Epoch 43/120, Train Loss: 0.0008, Val Loss: 0.0007, Benchmark Loss: 0.0337
Epoch 44/120, Train Loss: 0.0007, Val Loss: 0.0007, Benchmark Loss: 0.0342
Epoch 45/120, Train Loss: 0.0008, Val Loss: 0.0021, Benchmark Loss: 0.0329
Epoch 46/120, Train Loss: 0.0007, Val Loss: 0.0003, Benchmark Loss: 0.0321
Epoch 47/120, Train Loss: 0.0006, Val Loss: 0.0006, Benchmark Loss: 0.0329
Epoch 48/120, Train Loss: 0.0006, Val Loss: 0.0029, Benchmark Loss: 0.0368
Epoch 49/120, Train Loss: 0.0007, Val Loss: 0.0011, Benchmark Loss: 0.0368
Epoch 50/120, Train Loss: 0.0006, Val Loss: 0.0006, Benchmark Loss: 0.0329
Epoch 51/120, Train Loss: 0.0006, Val Loss: 0.0012, Benchmark Loss: 0.0320
Epoch 52/120, Train Loss: 0.0006, Val Loss: 0.0011, Benchmark Loss: 0.0377
Epoch 53/120, Train Loss: 0.0006, Val Loss: 0.0009, Benchmark Loss: 0.0366
Epoch 54/120, Train Loss: 0.0007, Val Loss: 0.0003, Benchmark Loss: 0.0354
Epoch 55/120, Train Loss: 0.0008, Val Loss: 0.0007, Benchmark Loss: 0.0393
Epoch 56/120, Train Loss: 0.0006, Val Loss: 0.0034, Benchmark Loss: 0.0381
Epoch 57/120, Train Loss: 0.0007, Val Loss: 0.0003, Benchmark Loss: 0.0385
Epoch 58/120, Train Loss: 0.0008, Val Loss: 0.0045, Benchmark Loss: 0.0446
Epoch 59/120, Train Loss: 0.0007, Val Loss: 0.0007, Benchmark Loss: 0.0405
Epoch 60/120, Train Loss: 0.0006, Val Loss: 0.0002, Benchmark Loss: 0.0380
Epoch 61/120, Train Loss: 0.0006, Val Loss: 0.0011, Benchmark Loss: 0.0377
Epoch 62/120, Train Loss: 0.0006, Val Loss: 0.0002, Benchmark Loss: 0.0400
