Train/val dataset: 3000 graphes
Benchmark fixe: 900 graphes
Epoch 1/120, Train Loss: 0.0394, Val Loss: 0.0163, Benchmark Loss: 0.0282
Epoch 2/120, Train Loss: 0.0125, Val Loss: 0.0096, Benchmark Loss: 0.0153
Epoch 3/120, Train Loss: 0.0092, Val Loss: 0.0078, Benchmark Loss: 0.0141
Epoch 4/120, Train Loss: 0.0081, Val Loss: 0.0078, Benchmark Loss: 0.0125
Epoch 5/120, Train Loss: 0.0070, Val Loss: 0.0094, Benchmark Loss: 0.0156
Epoch 6/120, Train Loss: 0.0064, Val Loss: 0.0259, Benchmark Loss: 0.0321
Epoch 7/120, Train Loss: 0.0060, Val Loss: 0.0043, Benchmark Loss: 0.0095
Epoch 8/120, Train Loss: 0.0047, Val Loss: 0.0064, Benchmark Loss: 0.0116
Epoch 9/120, Train Loss: 0.0052, Val Loss: 0.0053, Benchmark Loss: 0.0096
Epoch 10/120, Train Loss: 0.0048, Val Loss: 0.0113, Benchmark Loss: 0.0185
Epoch 11/120, Train Loss: 0.0042, Val Loss: 0.0040, Benchmark Loss: 0.0079
Epoch 12/120, Train Loss: 0.0043, Val Loss: 0.0055, Benchmark Loss: 0.0105
Epoch 13/120, Train Loss: 0.0042, Val Loss: 0.0037, Benchmark Loss: 0.0078
Epoch 14/120, Train Loss: 0.0038, Val Loss: 0.0117, Benchmark Loss: 0.0177
Epoch 15/120, Train Loss: 0.0039, Val Loss: 0.0074, Benchmark Loss: 0.0117
Epoch 16/120, Train Loss: 0.0038, Val Loss: 0.0045, Benchmark Loss: 0.0073
Epoch 17/120, Train Loss: 0.0033, Val Loss: 0.0028, Benchmark Loss: 0.0065
Epoch 18/120, Train Loss: 0.0042, Val Loss: 0.0039, Benchmark Loss: 0.0085
Epoch 19/120, Train Loss: 0.0040, Val Loss: 0.0043, Benchmark Loss: 0.0098
Epoch 20/120, Train Loss: 0.0040, Val Loss: 0.0086, Benchmark Loss: 0.0132
Epoch 21/120, Train Loss: 0.0034, Val Loss: 0.0036, Benchmark Loss: 0.0068
Epoch 22/120, Train Loss: 0.0035, Val Loss: 0.0031, Benchmark Loss: 0.0068
Epoch 23/120, Train Loss: 0.0033, Val Loss: 0.0029, Benchmark Loss: 0.0064
Epoch 24/120, Train Loss: 0.0030, Val Loss: 0.0052, Benchmark Loss: 0.0083
Epoch 25/120, Train Loss: 0.0034, Val Loss: 0.0031, Benchmark Loss: 0.0058
Epoch 26/120, Train Loss: 0.0031, Val Loss: 0.0038, Benchmark Loss: 0.0072
Epoch 27/120, Train Loss: 0.0033, Val Loss: 0.0049, Benchmark Loss: 0.0072
Epoch 28/120, Train Loss: 0.0032, Val Loss: 0.0058, Benchmark Loss: 0.0089
Epoch 29/120, Train Loss: 0.0028, Val Loss: 0.0028, Benchmark Loss: 0.0061
Epoch 30/120, Train Loss: 0.0027, Val Loss: 0.0028, Benchmark Loss: 0.0061
Epoch 31/120, Train Loss: 0.0026, Val Loss: 0.0032, Benchmark Loss: 0.0071
Epoch 32/120, Train Loss: 0.0028, Val Loss: 0.0033, Benchmark Loss: 0.0065
Epoch 33/120, Train Loss: 0.0031, Val Loss: 0.0027, Benchmark Loss: 0.0048
Epoch 34/120, Train Loss: 0.0031, Val Loss: 0.0044, Benchmark Loss: 0.0081
Epoch 35/120, Train Loss: 0.0033, Val Loss: 0.0116, Benchmark Loss: 0.0195
Epoch 36/120, Train Loss: 0.0029, Val Loss: 0.0046, Benchmark Loss: 0.0079
Epoch 37/120, Train Loss: 0.0028, Val Loss: 0.0037, Benchmark Loss: 0.0068
Epoch 38/120, Train Loss: 0.0025, Val Loss: 0.0025, Benchmark Loss: 0.0066
Epoch 39/120, Train Loss: 0.0026, Val Loss: 0.0039, Benchmark Loss: 0.0082
Epoch 40/120, Train Loss: 0.0024, Val Loss: 0.0024, Benchmark Loss: 0.0057
Epoch 41/120, Train Loss: 0.0027, Val Loss: 0.0050, Benchmark Loss: 0.0076
Epoch 42/120, Train Loss: 0.0027, Val Loss: 0.0078, Benchmark Loss: 0.0119
Epoch 43/120, Train Loss: 0.0022, Val Loss: 0.0025, Benchmark Loss: 0.0055
Epoch 44/120, Train Loss: 0.0023, Val Loss: 0.0028, Benchmark Loss: 0.0062
Epoch 45/120, Train Loss: 0.0024, Val Loss: 0.0021, Benchmark Loss: 0.0054
Epoch 46/120, Train Loss: 0.0025, Val Loss: 0.0023, Benchmark Loss: 0.0066
Epoch 47/120, Train Loss: 0.0024, Val Loss: 0.0022, Benchmark Loss: 0.0048
Epoch 48/120, Train Loss: 0.0022, Val Loss: 0.0019, Benchmark Loss: 0.0053
Epoch 49/120, Train Loss: 0.0021, Val Loss: 0.0040, Benchmark Loss: 0.0074
Epoch 50/120, Train Loss: 0.0023, Val Loss: 0.0023, Benchmark Loss: 0.0066
Epoch 51/120, Train Loss: 0.0023, Val Loss: 0.0026, Benchmark Loss: 0.0056
