Train/val dataset: 3000 graphes
Benchmark fixe: 900 graphes
Epoch 1/120, Train Loss: 0.0421, Val Loss: 0.0146, Benchmark Loss: 0.0244
Epoch 2/120, Train Loss: 0.0122, Val Loss: 0.0070, Benchmark Loss: 0.0148
Epoch 3/120, Train Loss: 0.0069, Val Loss: 0.0053, Benchmark Loss: 0.0098
Epoch 4/120, Train Loss: 0.0077, Val Loss: 0.0057, Benchmark Loss: 0.0148
Epoch 5/120, Train Loss: 0.0068, Val Loss: 0.0057, Benchmark Loss: 0.0317
Epoch 6/120, Train Loss: 0.0055, Val Loss: 0.0054, Benchmark Loss: 0.0102
Epoch 7/120, Train Loss: 0.0059, Val Loss: 0.0036, Benchmark Loss: 0.0139
Epoch 8/120, Train Loss: 0.0052, Val Loss: 0.0064, Benchmark Loss: 0.0477
Epoch 9/120, Train Loss: 0.0052, Val Loss: 0.0031, Benchmark Loss: 0.0132
Epoch 10/120, Train Loss: 0.0050, Val Loss: 0.0048, Benchmark Loss: 0.0152
Epoch 11/120, Train Loss: 0.0050, Val Loss: 0.0030, Benchmark Loss: 0.0169
Epoch 12/120, Train Loss: 0.0039, Val Loss: 0.0027, Benchmark Loss: 0.0109
Epoch 13/120, Train Loss: 0.0033, Val Loss: 0.0021, Benchmark Loss: 0.0105
Epoch 14/120, Train Loss: 0.0048, Val Loss: 0.0033, Benchmark Loss: 0.0119
Epoch 15/120, Train Loss: 0.0036, Val Loss: 0.0030, Benchmark Loss: 0.0188
Epoch 16/120, Train Loss: 0.0028, Val Loss: 0.0056, Benchmark Loss: 0.0161
Epoch 17/120, Train Loss: 0.0035, Val Loss: 0.0022, Benchmark Loss: 0.0132
Epoch 18/120, Train Loss: 0.0036, Val Loss: 0.0019, Benchmark Loss: 0.0104
Epoch 19/120, Train Loss: 0.0034, Val Loss: 0.0022, Benchmark Loss: 0.0235
Epoch 20/120, Train Loss: 0.0032, Val Loss: 0.0028, Benchmark Loss: 0.0129
Epoch 21/120, Train Loss: 0.0032, Val Loss: 0.0028, Benchmark Loss: 0.0136
Epoch 22/120, Train Loss: 0.0033, Val Loss: 0.0035, Benchmark Loss: 0.0203
Epoch 23/120, Train Loss: 0.0025, Val Loss: 0.0027, Benchmark Loss: 0.0124
Epoch 24/120, Train Loss: 0.0035, Val Loss: 0.0019, Benchmark Loss: 0.0123
Epoch 25/120, Train Loss: 0.0026, Val Loss: 0.0021, Benchmark Loss: 0.0103
Epoch 26/120, Train Loss: 0.0027, Val Loss: 0.0017, Benchmark Loss: 0.0206
Epoch 27/120, Train Loss: 0.0026, Val Loss: 0.0038, Benchmark Loss: 0.0198
Epoch 28/120, Train Loss: 0.0024, Val Loss: 0.0017, Benchmark Loss: 0.0106
Epoch 29/120, Train Loss: 0.0025, Val Loss: 0.0017, Benchmark Loss: 0.0080
Epoch 30/120, Train Loss: 0.0026, Val Loss: 0.0016, Benchmark Loss: 0.0081
Epoch 31/120, Train Loss: 0.0022, Val Loss: 0.0014, Benchmark Loss: 0.0088
Epoch 32/120, Train Loss: 0.0027, Val Loss: 0.0041, Benchmark Loss: 0.0230
Epoch 33/120, Train Loss: 0.0023, Val Loss: 0.0016, Benchmark Loss: 0.0076
Epoch 34/120, Train Loss: 0.0021, Val Loss: 0.0017, Benchmark Loss: 0.0130
Epoch 35/120, Train Loss: 0.0024, Val Loss: 0.0020, Benchmark Loss: 0.0095
Epoch 36/120, Train Loss: 0.0020, Val Loss: 0.0023, Benchmark Loss: 0.0086
Epoch 37/120, Train Loss: 0.0023, Val Loss: 0.0016, Benchmark Loss: 0.0207
Epoch 38/120, Train Loss: 0.0023, Val Loss: 0.0020, Benchmark Loss: 0.0109
Epoch 39/120, Train Loss: 0.0019, Val Loss: 0.0016, Benchmark Loss: 0.0077
Epoch 40/120, Train Loss: 0.0017, Val Loss: 0.0015, Benchmark Loss: 0.0159
Epoch 41/120, Train Loss: 0.0020, Val Loss: 0.0013, Benchmark Loss: 0.0119
Epoch 42/120, Train Loss: 0.0017, Val Loss: 0.0019, Benchmark Loss: 0.0086
Epoch 43/120, Train Loss: 0.0019, Val Loss: 0.0014, Benchmark Loss: 0.0138
Epoch 44/120, Train Loss: 0.0021, Val Loss: 0.0018, Benchmark Loss: 0.0143
Epoch 45/120, Train Loss: 0.0018, Val Loss: 0.0020, Benchmark Loss: 0.0199
