Train/val dataset: 9000 graphes
Benchmark fixe: 900 graphes
Epoch 1/120, Train Loss: 0.0354, Val Loss: 0.0200, Benchmark Loss: 0.0203
Epoch 2/120, Train Loss: 0.0142, Val Loss: 0.0123, Benchmark Loss: 0.0131
Epoch 3/120, Train Loss: 0.0092, Val Loss: 0.0070, Benchmark Loss: 0.0077
Epoch 4/120, Train Loss: 0.0070, Val Loss: 0.0064, Benchmark Loss: 0.0071
Epoch 5/120, Train Loss: 0.0056, Val Loss: 0.0066, Benchmark Loss: 0.0072
Epoch 6/120, Train Loss: 0.0046, Val Loss: 0.0041, Benchmark Loss: 0.0043
Epoch 7/120, Train Loss: 0.0041, Val Loss: 0.0037, Benchmark Loss: 0.0038
Epoch 8/120, Train Loss: 0.0036, Val Loss: 0.0032, Benchmark Loss: 0.0034
Epoch 9/120, Train Loss: 0.0033, Val Loss: 0.0035, Benchmark Loss: 0.0038
Epoch 10/120, Train Loss: 0.0030, Val Loss: 0.0029, Benchmark Loss: 0.0030
Epoch 11/120, Train Loss: 0.0030, Val Loss: 0.0030, Benchmark Loss: 0.0031
Epoch 12/120, Train Loss: 0.0028, Val Loss: 0.0025, Benchmark Loss: 0.0026
Epoch 13/120, Train Loss: 0.0026, Val Loss: 0.0024, Benchmark Loss: 0.0024
Epoch 14/120, Train Loss: 0.0025, Val Loss: 0.0024, Benchmark Loss: 0.0025
Epoch 15/120, Train Loss: 0.0024, Val Loss: 0.0022, Benchmark Loss: 0.0024
Epoch 16/120, Train Loss: 0.0024, Val Loss: 0.0022, Benchmark Loss: 0.0023
Epoch 17/120, Train Loss: 0.0023, Val Loss: 0.0024, Benchmark Loss: 0.0025
Epoch 18/120, Train Loss: 0.0021, Val Loss: 0.0022, Benchmark Loss: 0.0024
Epoch 19/120, Train Loss: 0.0021, Val Loss: 0.0020, Benchmark Loss: 0.0021
Epoch 20/120, Train Loss: 0.0020, Val Loss: 0.0019, Benchmark Loss: 0.0020
Epoch 21/120, Train Loss: 0.0020, Val Loss: 0.0019, Benchmark Loss: 0.0019
Epoch 22/120, Train Loss: 0.0019, Val Loss: 0.0019, Benchmark Loss: 0.0021
Epoch 23/120, Train Loss: 0.0019, Val Loss: 0.0019, Benchmark Loss: 0.0021
Epoch 24/120, Train Loss: 0.0021, Val Loss: 0.0017, Benchmark Loss: 0.0019
Epoch 25/120, Train Loss: 0.0019, Val Loss: 0.0021, Benchmark Loss: 0.0022
Epoch 26/120, Train Loss: 0.0018, Val Loss: 0.0017, Benchmark Loss: 0.0019
Epoch 27/120, Train Loss: 0.0018, Val Loss: 0.0018, Benchmark Loss: 0.0020
Epoch 28/120, Train Loss: 0.0018, Val Loss: 0.0017, Benchmark Loss: 0.0018
Epoch 29/120, Train Loss: 0.0017, Val Loss: 0.0018, Benchmark Loss: 0.0019
Epoch 30/120, Train Loss: 0.0018, Val Loss: 0.0016, Benchmark Loss: 0.0017
Epoch 31/120, Train Loss: 0.0017, Val Loss: 0.0017, Benchmark Loss: 0.0018
Epoch 32/120, Train Loss: 0.0017, Val Loss: 0.0017, Benchmark Loss: 0.0018
Epoch 33/120, Train Loss: 0.0017, Val Loss: 0.0016, Benchmark Loss: 0.0016
Epoch 34/120, Train Loss: 0.0016, Val Loss: 0.0022, Benchmark Loss: 0.0024
Epoch 35/120, Train Loss: 0.0016, Val Loss: 0.0019, Benchmark Loss: 0.0020
Epoch 36/120, Train Loss: 0.0017, Val Loss: 0.0016, Benchmark Loss: 0.0017
Epoch 37/120, Train Loss: 0.0015, Val Loss: 0.0016, Benchmark Loss: 0.0017
Epoch 38/120, Train Loss: 0.0015, Val Loss: 0.0015, Benchmark Loss: 0.0016
Epoch 39/120, Train Loss: 0.0015, Val Loss: 0.0017, Benchmark Loss: 0.0019
Epoch 40/120, Train Loss: 0.0016, Val Loss: 0.0022, Benchmark Loss: 0.0023
Epoch 41/120, Train Loss: 0.0015, Val Loss: 0.0016, Benchmark Loss: 0.0016
Epoch 42/120, Train Loss: 0.0015, Val Loss: 0.0016, Benchmark Loss: 0.0017
Epoch 43/120, Train Loss: 0.0015, Val Loss: 0.0014, Benchmark Loss: 0.0015
Epoch 44/120, Train Loss: 0.0014, Val Loss: 0.0014, Benchmark Loss: 0.0015
